submission_date,product_id,product_name,product_brand,site_category_lv1,site_category_lv2,review_title,overall_rating,review_text,reviewer_birth_year,reviewer_gender,reviewer_state
2018-01-01 00:11:28,132532965,"Notebook Asus Vivobook Max X541NA-GO472T Intel Celeron Quad Core 4GB 500GB Tela LED 15,6"" Windows - 10 Branco",,Informática,Notebook,Bom,4,['contente compra entregar rapido unico problema americanas trocar devolucao de o produto consumidor ter problema espera '],1958.0,F,RJ
2018-01-01 00:13:48,22562178,Copo Acrílico Com Canudo 500ml Rocie,,Utilidades Domésticas,"Copos, Taças e Canecas","Preço imbatível, ótima qualidade",4,['apenas r eu conseguir comprar lir copo acrilico '],1996.0,M,SC
2018-01-01 00:26:02,113022329,Panela de Pressão Elétrica Philips Walita Daily 5L com Timer,philips walita,Eletroportáteis,Panela Elétrica,ATENDE TODAS AS EXPECTATIVA.,4,['supera em agilidade praticidade outras panelas eletricas    costumo usar outra panela para cozimento de arroz  japonesa   mas leva muito tempo       minutos    nessa panela   muito mais rapido  exatamente  minutos      eu recomendo '],1984.0,M,SP
2018-01-01 00:35:54,113851581,Betoneira Columbus - Roma Brinquedos,roma jensen,Brinquedos,Veículos de Brinquedo,presente mais que desejado,4,['meu filho amou  parece verdade com tantos detalhes que tem '],1985.0,F,SP
2018-01-01 01:00:28,131788803,"Smart TV LED 43"" LG 43UJ6525 Ultra HD 4K com Conversor Digital 4 HDMI 2 USB WebOS 3.5 Painel Ips HDR e Magic Mobile Connection",lg,TV e Home Theater,TV,"Sem duvidas, excelente",5,['entrega em o prazo  americana parabens  smart tv bom  navegacao em o internete por o aplicativo excelente  trar  falar de o imagem surpreender  recomendar '],1994.0,M,MG
2018-01-01 01:27:23,22562178,Copo Acrílico Com Canudo 500ml Rocie,,Utilidades Domésticas,"Copos, Taças e Canecas",Produto imperdível,5,['excelente produto  material acrilico super resistente dentro adamantio  fazer milagre qualquer bebida  sugiro aproveitar promocao antes acaber '],1979.0,M,PA
2018-01-01 01:54:38,22562178,Copo Acrílico Com Canudo 500ml Rocie,,Utilidades Domésticas,"Copos, Taças e Canecas",ótimo,5,['produto mto bom  garrafinha vc poder servir agua pro megazord  to pensar vender tv pra comprar  garrafa de esse  recomendo'],,,
2018-01-01 01:58:17,132444092,"Smartphone Motorola Moto G 5S Dual Chip Android 7.1.1 Nougat Tela 5.2"" Snapdragon 430 32GB 4G Câmera 16MP - Platinum",,Celulares e Smartphones,Smartphone,Gostei bastante do produto,4,['produto excelente qualidade bom camerar desenvolvimento de o android rapidez'],1987.0,M,GO
2018-01-01 02:02:13,122776350,Ventilador de Teto Ventisol Fenix Premium Branco 3 velocidades com Controle Remoto,ventisol,Casa e Construção,Climatização,Gostei do produto,5,['barulho minimo vento bem forte em o velocidade '],1987.0,M,SP
2018-01-01 02:16:06,23474928,Kit 10 Peças Fita Led 12v 5050 300 Leds Rgb + Fonte,,Casa e Construção,Iluminação,NÃO RECEBI O PRODUTO,1,['meu produto nao foi entregue americanas esta descontando na fatura do meu cartao'],1984.0,M,RJ
2018-01-01 02:54:14,22562178,Copo Acrílico Com Canudo 500ml Rocie,,Utilidades Domésticas,"Copos, Taças e Canecas",Fantástico,5,['comprei pra cara membro de o familia em esse natal    '],,,
2018-01-01 03:06:04,126474851,Aspirador de Pó Philco Rapid 1000N Vermelho/Preto - 1000W,philco,Eletroportáteis,Aspirador e Vassoura Elétrica,Maravilhoso!!!,5,['produto maravilhoso  barulhento  facil manuseio  tranquilo montar desmontar  entregar antes de o prazo tratar epoca de o natal  americanas parabens produto bom  recomendo forca '],1967.0,F,RJ
2018-01-01 03:32:47,29302228,Conjunto de Panelas Antiaderente Turim 10 Peças Vermelha Tramontina,,Utilidades Domésticas,Panelas,Amei o produto,5,['jogo panela excelente material  entregar tempo  design bom '],,,
2018-01-01 03:35:48,132444050,"Smartphone Motorola Moto G 5S Dual Chip Android 7.1.1 Nougat Tela 5.2"" Snapdragon 430 32GB 4G Câmera 16MP - Dourado",,Celulares e Smartphones,Smartphone,Revoltado,1,['celular valer nada bateria valer nada descarregar sozinha usar esquentar tanto fazer medo espludi mau compra de o vida ter condicao quebrar mil pedaco comprar outro qualquer marca pouco motorola'],1970.0,M,BA
