submission_date,product_id,product_name,product_brand,site_category_lv1,site_category_lv2,review_title,overall_rating,review_text,reviewer_birth_year,reviewer_gender,reviewer_state,chunks,valid_chunks
2018-01-01 00:11:28,132532965,"Notebook Asus Vivobook Max X541NA-GO472T Intel Celeron Quad Core 4GB 500GB Tela LED 15,6"" Windows - 10 Branco",,Informática,Notebook,Bom,4,['contente compra entregar rápido único problema americana trocar devolução de o produto consumidor ter problema espera'],1958.0,F,RJ,"[""['contente compra entregar rápido único problema"", 'problema americana trocar devolução de o produto', ""o produto consumidor ter problema espera']""]","[""['contente compra entregar rápido único problema"", 'problema americana trocar devolução de o produto', ""o produto consumidor ter problema espera']""]"
2018-01-01 00:13:48,22562178,Copo Acrílico Com Canudo 500ml Rocie,,Utilidades Domésticas,"Copos, Taças e Canecas","Preço imbatível, ótima qualidade",4,['apenas reu conseguir comprar lir copo acrílico'],1996.0,M,SC,"[""['apenas reu conseguir comprar lir copo acrílico']""]","[""['apenas reu conseguir comprar lir copo acrílico']""]"
2018-01-01 00:26:02,113022329,Panela de Pressão Elétrica Philips Walita Daily 5L com Timer,philips walita,Eletroportáteis,Panela Elétrica,ATENDE TODAS AS EXPECTATIVA.,4,['superar agilidade praticidade outro panela elétrico   costumo usar outro panela cozimento arroz japonês levar tempo     minuto   em esse panela   rápido exatamente   minuto     recomendar'],1984.0,M,SP,"[""['superar agilidade praticidade outro panela"", 'panela elétrico   costumo usar outro panela', 'panela cozimento arroz japonês levar tempo', 'tempo     minuto   em esse panela   rápido', ""rápido exatamente   minuto     recomendar']""]","[""['superar agilidade praticidade outro panela"", 'panela elétrico   costumo usar outro panela', 'panela cozimento arroz japonês levar tempo', 'tempo     minuto   em esse panela   rápido']"
2018-01-01 00:35:54,113851581,Betoneira Columbus - Roma Brinquedos,roma jensen,Brinquedos,Veículos de Brinquedo,presente mais que desejado,4,['filho amar parecer verdade tanto detalhe ter'],1985.0,F,SP,"[""['filho amar parecer verdade tanto detalhe ter']""]","[""['filho amar parecer verdade tanto detalhe ter']""]"
2018-01-01 01:00:28,131788803,"Smart TV LED 43"" LG 43UJ6525 Ultra HD 4K com Conversor Digital 4 HDMI 2 USB WebOS 3.5 Painel Ips HDR e Magic Mobile Connection",lg,TV e Home Theater,TV,"Sem duvidas, excelente",5,['entrega em o prazo americana parabéns smart tv bom navegação em o internete por o aplicativo excelente trar falar de o imagem surpreender recomer'],1994.0,M,MG,"[""['entrega em o prazo americana parabéns smart tv"", 'smart tv bom navegação em o internete por o', 'por o aplicativo excelente trar falar de o imagem', ""o imagem surpreender recomer']""]","[""['entrega em o prazo americana parabéns smart tv"", 'smart tv bom navegação em o internete por o', 'por o aplicativo excelente trar falar de o imagem']"
2018-01-01 01:27:23,22562178,Copo Acrílico Com Canudo 500ml Rocie,,Utilidades Domésticas,"Copos, Taças e Canecas",Produto imperdível,5,['excelente produto material acrílico super resistente dentro adamantio fazer milagre qualquer bebida sugiro aproveitar promoção antes acaber'],1979.0,M,PA,"[""['excelente produto material acrílico super"", 'super resistente dentro adamantio fazer milagre', 'milagre qualquer bebida sugiro aproveitar', ""promoção antes acaber']""]","[""['excelente produto material acrílico super"", 'super resistente dentro adamantio fazer milagre', 'milagre qualquer bebida sugiro aproveitar']"
2018-01-01 01:54:38,22562178,Copo Acrílico Com Canudo 500ml Rocie,,Utilidades Domésticas,"Copos, Taças e Canecas",ótimo,5,['produto mto bom garrafinha vc poder servir água pro Megazord to pensar vender tv pra comprar   garrafa de esse recomendo'],,,,"[""['produto mto bom garrafinha vc poder servir água"", 'água pro Megazord to pensar vender tv pra comprar', ""comprar   garrafa de esse recomendo']""]","[""['produto mto bom garrafinha vc poder servir água"", 'água pro Megazord to pensar vender tv pra comprar', ""comprar   garrafa de esse recomendo']""]"
2018-01-01 01:58:17,132444092,"Smartphone Motorola Moto G 5S Dual Chip Android 7.1.1 Nougat Tela 5.2"" Snapdragon 430 32GB 4G Câmera 16MP - Platinum",,Celulares e Smartphones,Smartphone,Gostei bastante do produto,4,['produto excelente qualidade bom câmerar desenvolvimento de o android rapidez'],1987.0,M,GO,"[""['produto excelente qualidade bom câmerar"", ""câmerar desenvolvimento de o android rapidez']""]","[""['produto excelente qualidade bom câmerar"", ""câmerar desenvolvimento de o android rapidez']""]"
2018-01-01 02:02:13,122776350,Ventilador de Teto Ventisol Fenix Premium Branco 3 velocidades com Controle Remoto,ventisol,Casa e Construção,Climatização,Gostei do produto,5,['barulho minimo vento bem forte em o velocidade'],1987.0,M,SP,"[""['barulho minimo vento bem forte em o velocidade']""]","[""['barulho minimo vento bem forte em o velocidade']""]"
2018-01-01 02:16:06,23474928,Kit 10 Peças Fita Led 12v 5050 300 Leds Rgb + Fonte,,Casa e Construção,Iluminação,NÃO RECEBI O PRODUTO,1,['produto nao entregar americana descontar em o fatura de o cartão'],1984.0,M,RJ,"[""['produto nao entregar americana descontar em o"", ""em o fatura de o cartão']""]","[""['produto nao entregar americana descontar em o"", ""em o fatura de o cartão']""]"
